"","Topic","regione","n","region"
"366","Ethics","Lazio",1,"LAZIO"
"367","Fake News","Lazio",0,"LAZIO"
"368","Flipped Classroom","Lazio",1,"LAZIO"
"369","Genealogia","Lazio",0,"LAZIO"
"370","Giustizia Riparativa","Lazio",1,"LAZIO"
"371","Giustizia Sociale","Lazio",1,"LAZIO"
"372","Green","Lazio",4,"LAZIO"
"373","Green Economy","Lazio",2,"LAZIO"
"374","Industrial Engineering","Lazio",0,"LAZIO"
"375","Internet Delle Cose","Lazio",1,"LAZIO"
"376","Internet Of Things","Lazio",3,"LAZIO"
"377","Machine Learning","Lazio",8,"LAZIO"
"378","Malattie Rare","Lazio",0,"LAZIO"
"379","Marketing Digitale","Lazio",1,"LAZIO"
"380","Mobilità Elettrica","Lazio",2,"LAZIO"
"381","Motori Elettrici","Lazio",0,"LAZIO"
"382","Nutraceutica","Lazio",2,"LAZIO"
"383","Obiettivi Di Sviluppo Sostenibile","Lazio",0,"LAZIO"
"384","Posture","Lazio",1,"LAZIO"
"385","Priority","Lazio",0,"LAZIO"
"386","Python","Lazio",0,"LAZIO"
"387","Rilevamento Topografico","Lazio",1,"LAZIO"
"388","Scalabilità","Lazio",0,"LAZIO"
"389","Scienze Delle Produzioni","Lazio",0,"LAZIO"
"390","Scienze Gastronomiche","Lazio",2,"LAZIO"
"391","Service Design","Lazio",2,"LAZIO"
"392","Servizi E Applicazioni","Lazio",1,"LAZIO"
"393","Soft Skills","Lazio",14,"LAZIO"
"394","Sustainability","Lazio",2,"LAZIO"
"395","Sustainable Development Goals","Lazio",1,"LAZIO"
"396","Tecnologie Ingegneristiche","Lazio",1,"LAZIO"
"397","Text Mining","Lazio",0,"LAZIO"
"398","Things","Lazio",1,"LAZIO"
"399","Trasformazione Digitale","Lazio",5,"LAZIO"
"400","Agricoltura Di Precisione","Liguria",0,"LIGURIA"
"401","Analisi Delle Serie Storiche","Liguria",0,"LIGURIA"
"402","Analytics","Liguria",0,"LIGURIA"
"403","Artificial Intelligence","Liguria",1,"LIGURIA"
"404","Big Data","Liguria",0,"LIGURIA"
"405","Bioeconomia","Liguria",0,"LIGURIA"
"406","Blockchain","Liguria",0,"LIGURIA"
"407","Building Information Modeling","Liguria",0,"LIGURIA"
"408","Business Analytics","Liguria",0,"LIGURIA"
"409","Clinical Practice","Liguria",0,"LIGURIA"
"410","Cloud","Liguria",0,"LIGURIA"
"411","Cloud Computing","Liguria",0,"LIGURIA"
"412","Competenze Digitali","Liguria",0,"LIGURIA"
"413","Cybersecurity","Liguria",0,"LIGURIA"
"414","Data Analytics","Liguria",0,"LIGURIA"
"415","Data Management","Liguria",0,"LIGURIA"
"416","Data Science","Liguria",1,"LIGURIA"
"417","Deep Learning","Liguria",0,"LIGURIA"
"418","Digital Humanities","Liguria",1,"LIGURIA"
"419","Digital Marketing","Liguria",1,"LIGURIA"
"420","Digital Transformation","Liguria",0,"LIGURIA"
"421","Diritto Della Proprietà Intellettuale","Liguria",0,"LIGURIA"
"422","Economia Circolare","Liguria",2,"LIGURIA"
"423","Ethics","Liguria",0,"LIGURIA"
"424","Fake News","Liguria",0,"LIGURIA"
"425","Flipped Classroom","Liguria",0,"LIGURIA"
"426","Genealogia","Liguria",0,"LIGURIA"
"427","Giustizia Riparativa","Liguria",0,"LIGURIA"
"428","Giustizia Sociale","Liguria",0,"LIGURIA"
"429","Green","Liguria",1,"LIGURIA"
"430","Green Economy","Liguria",1,"LIGURIA"
"431","Industrial Engineering","Liguria",0,"LIGURIA"
"432","Internet Delle Cose","Liguria",0,"LIGURIA"
"433","Internet Of Things","Liguria",1,"LIGURIA"
"434","Machine Learning","Liguria",0,"LIGURIA"
"435","Malattie Rare","Liguria",0,"LIGURIA"
"436","Marketing Digitale","Liguria",0,"LIGURIA"
"437","Mobilità Elettrica","Liguria",0,"LIGURIA"
